cantor,code,titulo
19,18483,ANO KAMI HIKOHKI KUMORIZORA WATTE
365,6549,SÃO PAULO
10 cc,4920,I'M NOT IN LOVE
"10,000 Maniacs",19807,MORE THAN THIS
14 Bis,7392,NATURAL
14 Bis,7693,ROMANCE
14 Bis,9556,UMA VELHA CANÇÃO ROCK'N'ROLL
14 Bis,3755,LINDA JUVENTUDE
14 Bis,6074,PLANETA SONHO
14 Bis,6197,TODO AZUL DO MAR
14 Bis,1039,BOLA DE MEIA BOLA DE GUDE
3 Doors Down,9033,HERE WITHOUT YOU
4 Non Blondes,9072,WHAT'S UP
4 Non Blondes,2578,SPACEMAN
5 a Seco - Maria Gadú,15225,EM PAZ
5 Seconds Of Summer,19852,SHE LOOKS SO PERFECT
A Banda Mais Bonita da Cidade,2748,ORAÇÃO
A Banda Mais Bonita da Cidade,15450,CANÇÃO PRA NÃO VOLTAR
A Cor Do Som,7480,ZANZIBAR
A Cor do Som,15200,VIVA
A Cor Do Som,6402,ABRI A PORTA
A Cor Do Som,7175,MENINO DEUS
A Teens,4970,SUPER TROUPER
A Teens,4938,MAMMA MIA
A Turma Do Balão Mágico,1543,BRUXINHA
A Turma do Mônica,7548,SER CRIANÇA É BOM
A VIGÍLIA,5614,JEOVÁ É O TEU CAVALEIRO
A VIGÍLIA ,5617,JESUS TE ENTRONIZAMOS
A VIGÍLIA ,5636,RENOVA-ME
A VIGÍLIA 2,5608,ESTAMOS AQUI
A Zorra,9574,A COR DA ESPERANÇA
A.I.,2017,STORY
Abba,4877,CHIQUITITA
Abba,9116,I HAVE A DREAM
Abba,2533,MAMMA MIA
Abba,19333,FERNANDO
Abba,19768,KNOWING ME KNOWING YOU
Abba,4574,DANCING QUEEN
Abba,4787,THE WINNER TAKES IT ALL
Abe Shizue,18424,MIZU IRO NO TEGAMI
Abelhudos,1804,AS CRIANÇAS E OS ANIMAIS
Abilio Farias,15130,O GENRO ODIADO
Abílio Farias,1790,VOU FECHAR O CABARÉ
